system:index,ET_mm_mes,Pozo,anio,fecha,mes,.geo
10_00000000000000000001,110.0,2A,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
10_00000000000000000002,112.9,2B,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
10_00000000000000000003,112.9,3,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
10_00000000000000000004,112.9,4,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
10_00000000000000000005,112.9,5,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
10_00000000000000000006,112.9,6,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
10_00000000000000000007,115.89999999999999,7,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
10_00000000000000000008,115.89999999999999,8,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
10_00000000000000000009,112.20000000000002,9,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
10_0000000000000000000a,114.5,10,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
10_0000000000000000000b,114.5,11,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
10_0000000000000000000c,110.0,13,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
10_0000000000000000000d,111.50000000000001,14,2021,2021-08-01,8,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
11_00000000000000000000,124.7,1,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
11_00000000000000000001,112.0,2A,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
11_00000000000000000002,124.7,2B,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
11_00000000000000000003,124.7,3,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
11_00000000000000000004,124.7,4,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
11_00000000000000000005,124.7,5,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
11_00000000000000000006,124.7,6,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
11_00000000000000000007,123.80000000000001,7,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
11_00000000000000000008,123.80000000000001,8,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
11_00000000000000000009,119.80000000000001,9,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
11_0000000000000000000a,116.30000000000001,10,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
11_0000000000000000000b,116.30000000000001,11,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
11_0000000000000000000c,112.0,13,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
11_0000000000000000000d,118.20000000000002,14,2021,2021-09-01,9,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
12_00000000000000000000,83.7,1,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
12_00000000000000000001,81.5,2A,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
12_00000000000000000002,83.7,2B,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
12_00000000000000000003,83.7,3,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
12_00000000000000000004,83.7,4,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
12_00000000000000000005,83.7,5,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
12_00000000000000000006,83.7,6,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
12_00000000000000000007,85.30000000000001,7,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
12_00000000000000000008,85.30000000000001,8,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
12_00000000000000000009,85.7,9,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
12_0000000000000000000a,84.50000000000001,10,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
12_0000000000000000000b,84.50000000000001,11,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
12_0000000000000000000c,81.5,13,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
12_0000000000000000000d,83.9,14,2021,2021-10-01,10,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
13_00000000000000000000,99.0,1,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74978856992247,-1.7904772673668743]}"
13_00000000000000000001,98.1,2A,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74983296668937,-1.7921972737811613]}"
13_00000000000000000002,99.0,2B,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74973480787793,-1.7919951714837858]}"
13_00000000000000000003,99.0,3,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.75404163183657,-1.7918610324218451]}"
13_00000000000000000004,99.0,4,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.75284552065078,-1.7920405050100143]}"
13_00000000000000000005,99.0,5,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.75143985962639,-1.7906481461334953]}"
13_00000000000000000006,99.0,6,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74975285612159,-1.7905491162625187]}"
13_00000000000000000007,102.10000000000002,7,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74207215614447,-1.7895959830583716]}"
13_00000000000000000008,102.10000000000002,8,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74102347475167,-1.7887111350902782]}"
13_00000000000000000009,103.30000000000001,9,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74052811207812,-1.788495503449671]}"
13_0000000000000000000a,110.2,10,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.73925193837103,-1.7867663408191323]}"
13_0000000000000000000b,110.2,11,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.7402024343937,-1.7876332121283303]}"
13_0000000000000000000c,98.1,13,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.75139502432718,-1.7921705425688443]}"
13_0000000000000000000d,100.60000000000001,14,2021,2021-11-01,11,"{""type"":""Point"",""coordinates"":[-80.74939109928424,-1.7924127744006202]}"
